# Jet Force Analysis - OpenFOAM Post-Processing
# Wedge factor: 72
# Fuel density: 1000 kg/m3
# Air density: 20 kg/m3
# Inlet area (full): 7.70258e-07 m2
#
# Time(s)  MassFlow(kg/s)  MomentumFlux_x(N)  PressureForce_x(N)  TotalForce_x(N)
1.1976e-06  -0.104905  -14.8615  -0.139165  -15.0007
1.56105e-06  -0.104905  -14.8614  0.050051  -14.8114
1.96936e-06  -0.104905  -14.8614  0.0177791  -14.8437
2.42882e-06  -0.104905  -14.8615  0.00405202  -14.8574
2.94468e-06  -0.104905  -14.8615  -0.00158923  -14.8631
3.52086e-06  -0.104906  -14.8616  -0.00446631  -14.866
4.14859e-06  -0.104906  -14.8616  -0.00613168  -14.8677
4.80143e-06  -0.104907  -14.8616  -0.00684236  -14.8685
5.47686e-06  -0.104907  -14.8617  -0.00784396  -14.8695
6.16911e-06  -0.104907  -14.8617  -0.00747743  -14.8692
6.87911e-06  -0.104907  -14.8617  -0.00641533  -14.8681
7.60787e-06  -0.104907  -14.8617  -0.00702978  -14.8688
8.35358e-06  -0.104907  -14.8618  -0.0065692  -14.8683
9.11711e-06  -0.104907  -14.8618  -0.00511715  -14.8669
9.90263e-06  -0.104907  -14.8618  -0.00265357  -14.8644
1.06817e-05  -0.104907  -14.8617  -0.00382217  -14.8655
1.14544e-05  -0.104907  -14.8618  -0.0021907  -14.864
1.2224e-05  -0.104908  -14.8618  0.00127843  -14.8605
1.29905e-05  -0.104907  -14.8617  -0.000540264  -14.8623
1.37538e-05  -0.104907  -14.8617  0.00384582  -14.8578
1.45139e-05  -0.104907  -14.8617  0.00316156  -14.8585
1.5271e-05  -0.104907  -14.8617  0.00675043  -14.855
1.60281e-05  -0.104907  -14.8617  0.00568399  -14.8561
1.67821e-05  -0.104907  -14.8617  0.00763467  -14.8541
1.75361e-05  -0.104907  -14.8617  0.00887996  -14.8528
1.82901e-05  -0.104907  -14.8617  0.00925672  -14.8524
1.90409e-05  -0.104907  -14.8617  0.011792  -14.8499
1.97918e-05  -0.104906  -14.8616  0.0101582  -14.8515
2.05427e-05  -0.104906  -14.8616  0.00756292  -14.8541
2.12967e-05  -0.104906  -14.8616  0.00890667  -14.8527
2.20507e-05  -0.104906  -14.8616  0.0104272  -14.8512
2.28047e-05  -0.104906  -14.8616  0.0079983  -14.8536
2.3562e-05  -0.104906  -14.8616  0.00810006  -14.8535
2.43225e-05  -0.104906  -14.8616  0.00954201  -14.852
2.50863e-05  -0.104906  -14.8616  0.00687859  -14.8547
2.58535e-05  -0.104906  -14.8616  0.00607875  -14.8555
2.66275e-05  -0.104906  -14.8616  0.00582576  -14.8557
2.74084e-05  -0.104906  -14.8616  0.00561714  -14.8559
2.81965e-05  -0.104906  -14.8616  0.00555369  -14.856
2.89919e-05  -0.104906  -14.8615  0.00591062  -14.8556
2.97985e-05  -0.104906  -14.8615  0.00593745  -14.8556
3.06168e-05  -0.104906  -14.8615  0.00532786  -14.8562
3.14512e-05  -0.104906  -14.8615  0.00502202  -14.8565
3.23025e-05  -0.104906  -14.8615  0.00458454  -14.8569
3.31714e-05  -0.104906  -14.8615  0.00433735  -14.8572
3.40635e-05  -0.104906  -14.8615  0.00380217  -14.8577
3.49703e-05  -0.104906  -14.8615  0.00293723  -14.8586
3.58623e-05  -0.104905  -14.8615  0.00218863  -14.8593
3.67448e-05  -0.104905  -14.8615  0.00127391  -14.8602
3.76178e-05  -0.104905  -14.8615  0.000699981  -14.8608
3.84815e-05  -0.104905  -14.8615  0.000367481  -14.8611
3.93407e-05  -0.104905  -14.8615  0.00371361  -14.8578
4.01907e-05  -0.104905  -14.8615  0.00328086  -14.8582
4.10363e-05  -0.104905  -14.8615  0.0027747  -14.8587
4.18773e-05  -0.104905  -14.8615  0.00226328  -14.8592
4.2714e-05  -0.104905  -14.8615  0.00178338  -14.8597
4.35506e-05  -0.104905  -14.8615  0.00117312  -14.8603
4.43828e-05  -0.104905  -14.8615  0.000745118  -14.8608
