# Region type : patch inlet
# Faces         : 30
# Area          : 1.06980230e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(p_rgh)
1.1976e-06      	3.90646036e+08
1.56105e-06     	-1.39406505e+08
1.96936e-06     	-4.89815956e+07
2.42882e-06     	-1.05112486e+07
2.94468e-06     	5.30239818e+06
3.52086e-06     	1.33735653e+07
4.14859e-06     	1.80606196e+07
4.80143e-06     	2.00872546e+07
5.47686e-06     	2.28905432e+07
6.16911e-06     	2.19020732e+07
6.87911e-06     	1.90192087e+07
7.60787e-06     	2.05902458e+07
8.35358e-06     	1.94191878e+07
9.11711e-06     	1.53112081e+07
9.90263e-06     	8.44314388e+06
1.06817e-05     	1.16291434e+07
1.14544e-05     	6.98335074e+06
1.2224e-05      	-2.70996898e+06
1.29905e-05     	1.92258965e+06
1.37538e-05     	-1.02211677e+07
1.45139e-05     	-8.60094051e+06
1.5271e-05      	-1.85593007e+07
1.60281e-05     	-1.57427896e+07
1.67821e-05     	-2.10172487e+07
1.75361e-05     	-2.46738189e+07
1.82901e-05     	-2.59112006e+07
1.90409e-05     	-3.29089933e+07
1.97918e-05     	-2.84500668e+07
2.05427e-05     	-2.12876401e+07
2.12967e-05     	-2.49031233e+07
2.20507e-05     	-2.90684859e+07
2.28047e-05     	-2.26236209e+07
2.3562e-05      	-2.29054894e+07
2.43225e-05     	-2.68314954e+07
2.50863e-05     	-1.93857064e+07
2.58535e-05     	-1.70827779e+07
2.66275e-05     	-1.63415539e+07
2.74084e-05     	-1.57116082e+07
2.81965e-05     	-1.54907179e+07
2.89919e-05     	-1.64189818e+07
2.97985e-05     	-1.64375197e+07
3.06168e-05     	-1.47565869e+07
3.14512e-05     	-1.38652490e+07
3.23025e-05     	-1.26403071e+07
3.31714e-05     	-1.19555181e+07
3.40635e-05     	-1.04325627e+07
3.49703e-05     	-8.01855527e+06
3.58623e-05     	-5.93000380e+06
3.67448e-05     	-3.39293304e+06
3.76178e-05     	-1.78066891e+06
3.84815e-05     	-7.99428906e+05
3.93407e-05     	-1.01070385e+07
4.01907e-05     	-8.91419244e+06
4.10363e-05     	-7.50661495e+06
4.18773e-05     	-6.11066770e+06
4.2714e-05      	-4.78518408e+06
4.35506e-05     	-3.11244281e+06
4.43828e-05     	-1.94635385e+06
4.5215e-05      	-5.84571702e+05
4.60427e-05     	7.10253082e+05
4.68749e-05     	1.86234266e+06
4.77071e-05     	2.70697118e+06
4.85393e-05     	3.60043660e+06
4.93715e-05     	4.45963317e+06
5.02083e-05     	5.25742683e+06
5.10498e-05     	6.05974805e+06
5.18961e-05     	3.09640052e+04
5.27473e-05     	-4.89710939e+06
