# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
7.19424e-07      -2.66515560e-02 1.57208315e-07 4.01236842e-23 -2.66470834e-02 0.00000000e+00 0.00000000e+00 -4.47258535e-06 1.57208315e-07 4.01236842e-23
8.49673e-07      6.93970089e-03 -2.81817037e-06 1.18403272e-21 6.94331651e-03 0.00000000e+00 0.00000000e+00 -3.61561437e-06 -2.81817037e-06 1.18403272e-21
9.9451e-07       4.66000993e-03 -6.66424394e-06 2.34738850e-21 4.66317397e-03 0.00000000e+00 0.00000000e+00 -3.16404229e-06 -6.66424394e-06 2.34738850e-21
1.15448e-06      2.55088481e-03 -1.49593769e-05 2.64440447e-21 2.55397098e-03 0.00000000e+00 0.00000000e+00 -3.08616854e-06 -1.49593769e-05 2.64440447e-21
1.32664e-06      1.09380787e-03 -2.79722323e-05 1.60793120e-21 1.09708425e-03 0.00000000e+00 0.00000000e+00 -3.27638068e-06 -2.79722323e-05 1.60793120e-21
1.50925e-06      1.91819391e-04 -4.33360970e-05 4.98473967e-21 1.95346311e-04 0.00000000e+00 0.00000000e+00 -3.52692033e-06 -4.33360970e-05 4.98473967e-21
1.70066e-06      -3.22779894e-04 -6.02336447e-05 1.33452260e-21 -3.19057554e-04 0.00000000e+00 0.00000000e+00 -3.72233933e-06 -6.02336447e-05 1.33452260e-21
1.89975e-06      -6.73021409e-04 -7.81542527e-05 4.69546025e-21 -6.69191517e-04 0.00000000e+00 0.00000000e+00 -3.82989243e-06 -7.81542527e-05 4.69546025e-21
2.10546e-06      -9.43681300e-04 -9.63397565e-05 8.71836606e-21 -9.39815885e-04 0.00000000e+00 0.00000000e+00 -3.86541494e-06 -9.63397565e-05 8.71836606e-21
2.31689e-06      -1.15271181e-03 -1.15401547e-04 2.27479297e-21 -1.14882312e-03 0.00000000e+00 0.00000000e+00 -3.88869485e-06 -1.15401547e-04 2.27479297e-21
2.53365e-06      -1.31469529e-03 -1.35648573e-04 9.15137103e-21 -1.31075616e-03 0.00000000e+00 0.00000000e+00 -3.93913181e-06 -1.35648573e-04 9.15137103e-21
2.75502e-06      -1.43963421e-03 -1.55859761e-04 1.01522044e-20 -1.43560951e-03 0.00000000e+00 0.00000000e+00 -4.02469894e-06 -1.55859761e-04 1.01522044e-20
2.98096e-06      -1.53508212e-03 -1.73880236e-04 1.34424952e-20 -1.53095146e-03 0.00000000e+00 0.00000000e+00 -4.13066016e-06 -1.73880236e-04 1.34424952e-20
3.21085e-06      -1.60657527e-03 -1.87137044e-04 1.27468194e-20 -1.60233073e-03 0.00000000e+00 0.00000000e+00 -4.24453974e-06 -1.87137044e-04 1.27468194e-20
3.44429e-06      -1.66050169e-03 -1.93560095e-04 5.69844776e-21 -1.65612673e-03 0.00000000e+00 0.00000000e+00 -4.37495796e-06 -1.93560095e-04 5.69844776e-21
3.68139e-06      -1.70191640e-03 -1.91815834e-04 1.19026137e-20 -1.69735873e-03 0.00000000e+00 0.00000000e+00 -4.55767051e-06 -1.91815834e-04 1.19026137e-20
3.92169e-06      -1.71921154e-03 -1.90767705e-04 1.21299526e-20 -1.71447575e-03 0.00000000e+00 0.00000000e+00 -4.73578815e-06 -1.90767705e-04 1.21299526e-20
4.16496e-06      -1.73761197e-03 -1.90452273e-04 1.04838305e-20 -1.73270165e-03 0.00000000e+00 0.00000000e+00 -4.91031491e-06 -1.90452273e-04 1.04838305e-20
4.41129e-06      -1.74502585e-03 -1.89663813e-04 -7.83491165e-21 -1.73994359e-03 0.00000000e+00 0.00000000e+00 -5.08225981e-06 -1.89663813e-04 -7.83491165e-21
4.66045e-06      -1.72438441e-03 -1.90041197e-04 4.48792733e-21 -1.71925392e-03 0.00000000e+00 0.00000000e+00 -5.13048793e-06 -1.90041197e-04 4.48792733e-21
4.9125e-06       -1.69313291e-03 -1.91581640e-04 1.70562033e-20 -1.68799887e-03 0.00000000e+00 0.00000000e+00 -5.13404598e-06 -1.91581640e-04 1.70562033e-20
5.16752e-06      -1.67906802e-03 -1.92763221e-04 1.52009114e-20 -1.67393496e-03 0.00000000e+00 0.00000000e+00 -5.13305547e-06 -1.92763221e-04 1.52009114e-20
5.42557e-06      -1.61334570e-03 -1.94382753e-04 1.45455796e-20 -1.60817996e-03 0.00000000e+00 0.00000000e+00 -5.16574311e-06 -1.94382753e-04 1.45455796e-20
5.68675e-06      -1.56571569e-03 -1.95573775e-04 -8.14210922e-21 -1.56042559e-03 0.00000000e+00 0.00000000e+00 -5.29010359e-06 -1.95573775e-04 -8.14210922e-21
5.95076e-06      -1.50190764e-03 -1.99809190e-04 -1.76358458e-21 -1.49652464e-03 0.00000000e+00 0.00000000e+00 -5.38300665e-06 -1.99809190e-04 -1.76358458e-21
