# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
7.19424e-07      6.78038204e-27 2.60064798e-24 1.42706414e-05 0.00000000e+00 2.60022241e-24 1.42682966e-05 6.78038204e-27 4.25575479e-28 2.34471559e-09
8.49673e-07      3.89330976e-25 -9.36679120e-25 -4.14332851e-06 0.00000000e+00 -9.37031762e-25 -4.14524496e-06 3.89330976e-25 3.52642486e-28 1.91645614e-09
9.9451e-07       7.42412885e-25 -6.89739884e-25 -2.88260799e-06 0.00000000e+00 -6.90045756e-25 -2.88433119e-06 7.42412885e-25 3.05872169e-28 1.72320301e-09
1.15448e-06      9.24377445e-25 -4.66927421e-25 -1.72517266e-06 0.00000000e+00 -4.67205599e-25 -1.72695192e-06 9.24377445e-25 2.78177368e-28 1.77925804e-09
1.32664e-06      3.82849820e-25 -3.12422512e-25 -9.24401254e-07 0.00000000e+00 -3.12686105e-25 -9.26419068e-07 3.82849820e-25 2.63592867e-28 2.01781377e-09
1.50925e-06      2.13722095e-24 -2.16365802e-25 -4.27937040e-07 0.00000000e+00 -2.16622884e-25 -4.30219068e-07 2.13722095e-24 2.57081753e-28 2.28202878e-09
1.70066e-06      4.02326214e-25 -1.61182321e-25 -1.44090454e-07 0.00000000e+00 -1.61437296e-25 -1.46575668e-07 4.02326214e-25 2.54975487e-28 2.48521475e-09
1.89975e-06      1.97403530e-24 -1.23174306e-25 4.97019066e-08 0.00000000e+00 -1.23428526e-25 4.70966060e-08 1.97403530e-24 2.54219633e-28 2.60530062e-09
2.10546e-06      4.39381293e-24 -9.33659654e-26 1.99994049e-07 0.00000000e+00 -9.36181287e-26 1.97335919e-07 4.39381293e-24 2.52163331e-28 2.65812983e-09
2.31689e-06      3.49049627e-25 -6.99965869e-26 3.16544604e-07 0.00000000e+00 -7.02437364e-26 3.13850207e-07 3.49049627e-25 2.47149435e-28 2.69439670e-09
2.53365e-06      5.24540476e-24 -5.15486343e-26 4.07353541e-07 0.00000000e+00 -5.17888816e-26 4.04606001e-07 5.24540476e-24 2.40247356e-28 2.74754063e-09
2.75502e-06      5.66347082e-24 -3.69709295e-26 4.77941575e-07 0.00000000e+00 -3.72052494e-26 4.75116766e-07 5.66347082e-24 2.34319932e-28 2.82480960e-09
2.98096e-06      7.96016460e-24 -2.56251060e-26 5.32326345e-07 0.00000000e+00 -2.58582342e-26 5.29411674e-07 7.96016460e-24 2.33128154e-28 2.91467104e-09
