# Region type : patch inlet
# Faces         : 30
# Area          : 2.97167293e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(phi)
7.19424e-07     	-3.95139887e-04
8.49673e-07     	-3.95139545e-04
9.9451e-07      	-3.95139565e-04
1.15448e-06     	-3.95139595e-04
1.32664e-06     	-3.95139633e-04
1.50925e-06     	-3.95139699e-04
1.70066e-06     	-3.95139827e-04
1.89975e-06     	-3.95139990e-04
2.10546e-06     	-3.95140171e-04
2.31689e-06     	-3.95140342e-04
2.53365e-06     	-3.95140502e-04
2.75502e-06     	-3.95140635e-04
2.98096e-06     	-3.95140738e-04
3.21085e-06     	-3.95140806e-04
3.44429e-06     	-3.95140844e-04
3.68139e-06     	-3.95140867e-04
3.92169e-06     	-3.95140894e-04
4.16496e-06     	-3.95141085e-04
4.41129e-06     	-3.95141194e-04
4.66045e-06     	-3.95141266e-04
4.9125e-06      	-3.95141369e-04
5.16752e-06     	-3.95142065e-04
5.42557e-06     	-3.95142173e-04
5.68675e-06     	-3.95142098e-04
5.95076e-06     	-3.95141953e-04
6.21804e-06     	-3.95141742e-04
6.48869e-06     	-3.95141710e-04
6.76317e-06     	-3.95141792e-04
7.04121e-06     	-3.95141792e-04
7.32373e-06     	-3.95141828e-04
7.60666e-06     	-3.95142353e-04
7.88876e-06     	-3.95142413e-04
8.16963e-06     	-3.95142347e-04
8.44967e-06     	-3.95142062e-04
8.7289e-06      	-3.95142081e-04
9.00731e-06     	-3.95142069e-04
9.28492e-06     	-3.95141871e-04
9.56172e-06     	-3.95141726e-04
9.83812e-06     	-3.95141769e-04
1.01137e-05     	-3.95142037e-04
1.03889e-05     	-3.95142195e-04
1.06637e-05     	-3.95142250e-04
1.09377e-05     	-3.95142251e-04
1.12113e-05     	-3.95142120e-04
1.14845e-05     	-3.95141843e-04
1.17577e-05     	-3.95141533e-04
1.20306e-05     	-3.95141551e-04
1.2303e-05      	-3.95141495e-04
1.2575e-05      	-3.95141442e-04
1.2847e-05      	-3.95141402e-04
1.31187e-05     	-3.95141509e-04
1.33903e-05     	-3.95141564e-04
1.36619e-05     	-3.95141584e-04
1.39335e-05     	-3.95141549e-04
1.42052e-05     	-3.95141473e-04
1.44768e-05     	-3.95141387e-04
1.47484e-05     	-3.95141557e-04
1.50201e-05     	-3.95141558e-04
1.52921e-05     	-3.95141527e-04
1.55641e-05     	-3.95141468e-04
1.58366e-05     	-3.95141398e-04
1.6109e-05      	-3.95141319e-04
1.63818e-05     	-3.95141232e-04
1.66551e-05     	-3.95141128e-04
1.69287e-05     	-3.95141013e-04
