# Region type : patch inlet
# Faces         : 30
# Area          : 2.97167293e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(p_rgh)
7.19424e-07     	1.93930120e+09
8.49673e-07     	-5.00021008e+08
9.9451e-07      	-3.34629185e+08
1.15448e-06     	-1.81471195e+08
1.32664e-06     	-7.56741048e+07
1.50925e-06     	-1.02000269e+07
1.70066e-06     	2.71347399e+07
1.89975e-06     	5.25332994e+07
2.10546e-06     	7.21523242e+07
2.31689e-06     	8.72909102e+07
2.53365e-06     	9.90069071e+07
2.75502e-06     	1.08032901e+08
2.98096e-06     	1.14916048e+08
3.21085e-06     	1.20063953e+08
3.44429e-06     	1.23945214e+08
3.68139e-06     	1.26923748e+08
3.92169e-06     	1.28150838e+08
4.16496e-06     	1.29444492e+08
4.41129e-06     	1.29962605e+08
4.66045e-06     	1.28470987e+08
4.9125e-06      	1.26211329e+08
5.16752e-06     	1.25133970e+08
5.42557e-06     	1.20448606e+08
5.68675e-06     	1.17045013e+08
5.95076e-06     	1.12461545e+08
6.21804e-06     	1.08170466e+08
6.48869e-06     	1.05054116e+08
6.76317e-06     	1.00894676e+08
7.04121e-06     	9.29736989e+07
7.32373e-06     	8.53669344e+07
7.60666e-06     	7.59481604e+07
7.88876e-06     	6.60796323e+07
8.16963e-06     	5.59658481e+07
8.44967e-06     	4.94752002e+07
8.7289e-06      	4.16727702e+07
9.00731e-06     	2.93458756e+07
9.28492e-06     	2.10711876e+07
9.56172e-06     	9.64947618e+06
9.83812e-06     	3.61454234e+06
1.01137e-05     	-2.37790301e+06
1.03889e-05     	-1.00545053e+07
1.06637e-05     	-2.33647754e+07
1.09377e-05     	-3.72034836e+07
1.12113e-05     	-4.14249388e+07
1.14845e-05     	-4.96762631e+07
1.17577e-05     	-5.95896880e+07
1.20306e-05     	-6.54098197e+07
1.2303e-05      	-7.17052219e+07
1.2575e-05      	-7.47911479e+07
1.2847e-05      	-7.96489515e+07
1.31187e-05     	-8.02164102e+07
1.33903e-05     	-8.39665697e+07
1.36619e-05     	-8.70643166e+07
1.39335e-05     	-9.58764992e+07
1.42052e-05     	-9.58205398e+07
1.44768e-05     	-9.80730919e+07
1.47484e-05     	-9.50211279e+07
1.50201e-05     	-1.00439526e+08
1.52921e-05     	-1.02672323e+08
1.55641e-05     	-1.20811891e+08
1.58366e-05     	-1.19538906e+08
1.6109e-05      	-1.18290514e+08
1.63818e-05     	-1.16854335e+08
1.66551e-05     	-1.14630658e+08
1.69287e-05     	-1.14281184e+08
1.72028e-05     	-1.09307950e+08
1.74772e-05     	-1.08509183e+08
1.77521e-05     	-1.03950839e+08
1.80274e-05     	-1.01364580e+08
1.83036e-05     	-9.64318097e+07
1.85805e-05     	-9.17290273e+07
1.88579e-05     	-9.08849832e+07
1.91362e-05     	-8.99899482e+07
1.94153e-05     	-9.19203625e+07
1.96957e-05     	-9.37247373e+07
1.9977e-05      	-9.23627244e+07
2.02596e-05     	-9.02756665e+07
2.05436e-05     	-8.62796459e+07
2.08289e-05     	-8.35306456e+07
2.11155e-05     	-8.23241446e+07
2.14036e-05     	-8.28079108e+07
2.16935e-05     	-8.33780395e+07
2.19853e-05     	-8.23513283e+07
2.22796e-05     	-8.03445971e+07
2.25763e-05     	-7.54596321e+07
2.28755e-05     	-7.20334798e+07
2.31772e-05     	-6.93041863e+07
2.34821e-05     	-6.49730219e+07
2.37902e-05     	-6.25798107e+07
2.41015e-05     	-6.05116694e+07
2.44161e-05     	-5.49665917e+07
2.47348e-05     	-4.85132975e+07
2.50576e-05     	-4.26837427e+07
2.53852e-05     	-4.03368336e+07
2.57178e-05     	-3.66418927e+07
2.60485e-05     	-3.16142599e+07
2.63767e-05     	-2.76598463e+07
2.67031e-05     	-2.40967254e+07
2.70276e-05     	-2.08737538e+07
2.73503e-05     	-1.80360955e+07
2.76712e-05     	-1.36668589e+07
2.79909e-05     	-1.13374902e+07
2.83095e-05     	-1.09518196e+07
2.86268e-05     	-8.83721202e+06
2.8943e-05      	-8.81456195e+06
2.9258e-05      	-8.47749218e+06
2.95719e-05     	-5.63587243e+06
2.98852e-05     	-1.63866634e+06
3.01979e-05     	-8.54606644e+05
3.05095e-05     	-2.05882299e+05
3.08204e-05     	1.55211570e+06
3.11309e-05     	-7.32696616e+06
3.14407e-05     	-4.95022208e+06
3.175e-05       	-3.21468852e+06
3.20593e-05     	-1.50107268e+06
3.2368e-05      	5.99885785e+04
3.26761e-05     	1.98046031e+06
3.29843e-05     	3.49158044e+06
3.32924e-05     	4.60602581e+06
3.36e-05        	6.34384465e+06
3.39076e-05     	5.49270326e+06
3.42152e-05     	6.63466986e+06
3.45233e-05     	7.74295941e+06
3.48315e-05     	8.78171607e+06
3.51396e-05     	2.61895199e+06
3.54484e-05     	3.45215244e+06
3.57577e-05     	4.21787859e+06
3.6067e-05      	4.89310683e+06
3.63769e-05     	5.22367300e+06
3.66873e-05     	5.39902541e+06
3.69984e-05     	5.82461929e+06
3.73107e-05     	6.30088592e+06
3.76235e-05     	6.60819683e+06
3.7937e-05      	6.93044000e+06
3.82517e-05     	5.15969574e+06
3.85676e-05     	6.15646257e+06
3.88848e-05     	7.11796545e+06
3.92032e-05     	7.83840998e+06
3.95229e-05     	5.41655346e+06
3.98438e-05     	2.06257512e+06
4.01667e-05     	1.29232959e+06
4.04916e-05     	2.16666491e+06
4.08184e-05     	2.61577165e+06
4.1148e-05      	3.42449150e+06
4.14796e-05     	4.18986481e+06
4.18141e-05     	2.71411083e+06
4.21513e-05     	3.39592616e+06
4.24915e-05     	4.26801619e+06
4.28347e-05     	5.00562964e+06
4.31809e-05     	5.65797010e+06
4.35301e-05     	4.80868361e+06
4.38825e-05     	5.42640960e+06
4.42382e-05     	5.87779219e+06
4.45979e-05     	6.02727146e+06
4.4961e-05      	6.62036828e+06
4.53284e-05     	6.90557764e+06
4.56932e-05     	7.21834333e+06
4.60554e-05     	7.45313091e+06
4.64142e-05     	7.64857729e+06
4.67714e-05     	7.82850879e+06
4.71261e-05     	7.95382623e+06
4.74783e-05     	8.29137678e+06
4.78282e-05     	8.59717002e+06
4.81764e-05     	8.73605908e+06
4.8523e-05      	6.47151416e+06
4.88681e-05     	7.40389411e+06
4.92115e-05     	8.06311487e+06
4.95535e-05     	8.80502456e+06
4.98946e-05     	4.49759145e+06
5.02342e-05     	4.96284912e+06
5.05731e-05     	5.45902434e+06
5.09111e-05     	5.94905736e+06
5.12477e-05     	6.25012972e+06
5.15835e-05     	6.36561172e+06
5.19192e-05     	6.43380744e+06
5.22543e-05     	6.56295678e+06
5.25885e-05     	6.63268253e+06
5.29228e-05     	6.81193980e+06
5.32563e-05     	6.88880759e+06
5.35898e-05     	7.00244940e+06
5.39233e-05     	7.04690303e+06
5.42568e-05     	7.08645133e+06
5.45903e-05     	7.15436235e+06
5.49238e-05     	7.34608016e+06
5.52581e-05     	7.46492495e+06
5.55924e-05     	7.61270358e+06
5.59275e-05     	6.67754960e+06
5.62625e-05     	7.13782736e+06
5.65983e-05     	7.48554715e+06
5.6935e-05      	8.12330021e+06
5.72724e-05     	8.31458257e+06
5.76106e-05     	8.41364471e+06
5.79504e-05     	8.54296272e+06
5.82911e-05     	8.51096822e+06
5.86325e-05     	8.48075322e+06
5.89757e-05     	8.43796963e+06
5.93205e-05     	8.43850304e+06
5.9667e-05      	8.45060600e+06
6.00152e-05     	8.46626324e+06
6.03652e-05     	8.52810563e+06
6.07178e-05     	8.48867855e+06
6.10722e-05     	8.57034270e+06
6.14284e-05     	8.64989157e+06
6.17874e-05     	8.82312968e+06
6.21492e-05     	8.96670248e+06
6.25139e-05     	9.01981954e+06
6.28815e-05     	9.06734459e+06
6.32531e-05     	9.19083112e+06
6.36277e-05     	9.22759383e+06
6.40066e-05     	9.34191359e+06
6.43896e-05     	9.27900387e+06
6.4776e-05      	9.27035226e+06
6.51668e-05     	9.29676035e+06
6.55622e-05     	9.29379818e+06
6.596e-05       	9.30119808e+06
6.63542e-05     	9.30008962e+06
6.6745e-05      	9.30932259e+06
6.71335e-05     	9.28752860e+06
6.75186e-05     	9.50906852e+06
6.79015e-05     	9.60813503e+06
6.82822e-05     	9.74130333e+06
6.86607e-05     	9.90265251e+06
6.9037e-05      	9.90345452e+06
6.94112e-05     	9.88346406e+06
6.97832e-05     	9.73224306e+06
7.01532e-05     	9.66354623e+06
7.05221e-05     	9.52369649e+06
7.08888e-05     	9.37873400e+06
7.12546e-05     	9.27665704e+06
7.16193e-05     	9.26790707e+06
7.1983e-05      	9.24910522e+06
7.23457e-05     	9.22008439e+06
7.27083e-05     	9.27354656e+06
7.30699e-05     	9.41798003e+06
7.34316e-05     	9.54188302e+06
7.37922e-05     	9.63798453e+06
7.41527e-05     	9.65772929e+06
7.45133e-05     	9.59098219e+06
7.48739e-05     	9.48744043e+06
7.52335e-05     	9.42291146e+06
7.55931e-05     	9.34834722e+06
7.59526e-05     	9.33787224e+06
7.63122e-05     	9.28500717e+06
7.66717e-05     	9.20381304e+06
7.70323e-05     	9.21174597e+06
7.73929e-05     	9.18230838e+06
7.77536e-05     	9.14271475e+06
7.81152e-05     	9.09652323e+06
