# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1.1976e-06       -1.93405938e-03 2.52645427e-08 3.08279981e-24 -1.93284480e-03 0.00000000e+00 0.00000000e+00 -1.21458119e-06 2.52645427e-08 3.08279981e-24
1.56105e-06      6.94340880e-04 -1.93042084e-06 2.88647639e-22 6.95152447e-04 0.00000000e+00 0.00000000e+00 -8.11567691e-07 -1.93042084e-06 2.88647639e-22
1.96936e-06      2.46275074e-04 -3.95310495e-06 5.42783303e-22 2.46932221e-04 0.00000000e+00 0.00000000e+00 -6.57146487e-07 -3.95310495e-06 5.42783303e-22
2.42882e-06      5.56540541e-05 -7.63432484e-06 1.90646969e-21 5.62780279e-05 0.00000000e+00 0.00000000e+00 -6.23973841e-07 -7.63432484e-06 1.90646969e-21
2.94468e-06      -2.27369492e-05 -1.49424015e-05 7.41708942e-22 -2.20727067e-05 0.00000000e+00 0.00000000e+00 -6.64242502e-07 -1.49424015e-05 7.41708942e-22
3.52086e-06      -6.27396982e-05 -2.54456481e-05 2.59790849e-21 -6.20320633e-05 0.00000000e+00 0.00000000e+00 -7.07634914e-07 -2.54456481e-05 2.59790849e-21
4.14859e-06      -8.59184771e-05 -3.74521383e-05 1.42772366e-21 -8.51621734e-05 0.00000000e+00 0.00000000e+00 -7.56303724e-07 -3.74521383e-05 1.42772366e-21
4.80143e-06      -9.58470794e-05 -4.77234907e-05 -7.89897653e-22 -9.50327281e-05 0.00000000e+00 0.00000000e+00 -8.14351242e-07 -4.77234907e-05 -7.89897653e-22
5.47686e-06      -1.09809869e-04 -5.25207352e-05 1.37779017e-21 -1.08943870e-04 0.00000000e+00 0.00000000e+00 -8.65998641e-07 -5.25207352e-05 1.37779017e-21
6.16911e-06      -1.04755131e-04 -5.29197698e-05 2.55401572e-21 -1.03853229e-04 0.00000000e+00 0.00000000e+00 -9.01901993e-07 -5.29197698e-05 2.55401572e-21
6.87911e-06      -9.00688985e-05 -5.28571428e-05 -3.74626349e-21 -8.91018567e-05 0.00000000e+00 0.00000000e+00 -9.67041784e-07 -5.28571428e-05 -3.74626349e-21
7.60787e-06      -9.86782320e-05 -5.34758063e-05 -3.15470169e-21 -9.76357833e-05 0.00000000e+00 0.00000000e+00 -1.04244870e-06 -5.34758063e-05 -3.15470169e-21
8.35358e-06      -9.23038666e-05 -5.66017918e-05 5.17535120e-24 -9.12388266e-05 0.00000000e+00 0.00000000e+00 -1.06503994e-06 -5.66017918e-05 5.17535120e-24
9.11711e-06      -7.20934547e-05 -6.04990863e-05 2.22757756e-21 -7.10714653e-05 0.00000000e+00 0.00000000e+00 -1.02198943e-06 -6.04990863e-05 2.22757756e-21
9.90263e-06      -3.78325265e-05 -6.56664512e-05 1.88701694e-21 -3.68551056e-05 0.00000000e+00 0.00000000e+00 -9.77420994e-07 -6.56664512e-05 1.88701694e-21
1.06817e-05      -5.40290584e-05 -7.02230224e-05 2.62517169e-21 -5.30857514e-05 0.00000000e+00 0.00000000e+00 -9.43307018e-07 -7.02230224e-05 2.62517169e-21
1.14544e-05      -3.12824855e-05 -7.29651999e-05 2.16586135e-21 -3.04263537e-05 0.00000000e+00 0.00000000e+00 -8.56131813e-07 -7.29651999e-05 2.16586135e-21
