# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1.1976e-06       1.20181312e-27 -2.80312716e-26 6.24214999e-07 0.00000000e+00 -2.80116095e-26 6.23833155e-07 1.20181312e-27 -1.96621605e-29 3.81843904e-10
1.56105e-06      8.07291909e-26 6.32005354e-27 -2.43208457e-07 0.00000000e+00 6.33235431e-27 -2.43467925e-07 8.07291909e-26 -1.23007650e-29 2.59468912e-10
1.96936e-06      1.64398410e-25 4.10896521e-28 -9.56085766e-08 0.00000000e+00 4.19673954e-28 -9.58264269e-08 1.64398410e-25 -8.77743291e-30 2.17850271e-10
2.42882e-06      3.07733400e-25 -2.09072246e-27 -3.27577120e-08 0.00000000e+00 -2.08376515e-27 -3.29779316e-08 3.07733400e-25 -6.95730688e-30 2.20219541e-10
2.94468e-06      -4.36819150e-26 -3.09790953e-27 -6.80413618e-09 0.00000000e+00 -3.09020793e-27 -7.05544157e-09 -4.36819150e-26 -7.70159248e-30 2.51305391e-10
3.52086e-06      5.35514687e-25 -3.59232266e-27 6.55730025e-09 0.00000000e+00 -3.58153975e-27 6.27756580e-09 5.35514687e-25 -1.07829097e-29 2.79734449e-10
4.14859e-06      1.41142352e-25 -3.85146383e-27 1.44440860e-08 0.00000000e+00 -3.83654877e-27 1.41365614e-08 1.41142352e-25 -1.49150569e-29 3.07524641e-10
4.80143e-06      -1.07806053e-24 -3.91805792e-27 1.80363753e-08 0.00000000e+00 -3.89718071e-27 1.76990744e-08 -1.07806053e-24 -2.08772096e-29 3.37300860e-10
5.47686e-06      4.46321580e-25 -4.03737728e-27 2.29150844e-08 0.00000000e+00 -4.00963847e-27 2.25529687e-08 4.46321580e-25 -2.77388069e-29 3.62115681e-10
6.16911e-06      6.41358397e-25 -3.94913254e-27 2.16507399e-08 0.00000000e+00 -3.91553569e-27 2.12726005e-08 6.41358397e-25 -3.35968533e-29 3.78139395e-10
6.87911e-06      -2.61970296e-24 -3.65108308e-27 1.74059817e-08 0.00000000e+00 -3.61465663e-27 1.69980019e-08 -2.61970296e-24 -3.64264570e-29 4.07979732e-10
7.60787e-06      -2.22841226e-24 -3.78359098e-27 2.02137904e-08 0.00000000e+00 -3.74762815e-27 1.97709492e-08 -2.22841226e-24 -3.59628305e-29 4.42841238e-10
8.35358e-06      -9.73229570e-25 -3.42256025e-27 1.91152895e-08 0.00000000e+00 -3.38529101e-27 1.86627947e-08 -9.73229570e-25 -3.72692412e-29 4.52494826e-10
9.11711e-06      9.50382274e-25 -3.00680165e-27 1.28985020e-08 0.00000000e+00 -2.96619491e-27 1.24675175e-08 9.50382274e-25 -4.06067370e-29 4.30984466e-10
9.90263e-06      -3.14365818e-25 -2.36567434e-27 2.37879041e-09 0.00000000e+00 -2.32196303e-27 1.96913405e-09 -3.14365818e-25 -4.37113094e-29 4.09656365e-10
1.06817e-05      7.88048462e-25 -2.41441458e-27 8.89364895e-09 0.00000000e+00 -2.36745891e-27 8.49990606e-09 7.88048462e-25 -4.69556676e-29 3.93742890e-10
1.14544e-05      1.59680503e-25 -1.78684060e-27 2.58977144e-09 0.00000000e+00 -1.74411988e-27 2.23718926e-09 1.59680503e-25 -4.27207205e-29 3.52582173e-10
1.2224e-05       2.17334464e-24 -7.94008424e-28 -1.20261578e-08 0.00000000e+00 -7.61276578e-28 -1.23243470e-08 2.17334464e-24 -3.27318458e-29 2.98189254e-10
1.29905e-05      1.12607835e-24 -1.21012715e-27 -3.37239706e-09 0.00000000e+00 -1.18971436e-27 -3.60911510e-09 1.12607835e-24 -2.04127916e-29 2.36718040e-10
1.37538e-05      1.11810457e-24 -9.93318389e-29 -2.16681561e-08 0.00000000e+00 -9.28739020e-29 -2.18419970e-08 1.11810457e-24 -6.45793694e-30 1.73840952e-10
1.45139e-05      1.43972411e-24 -4.60184337e-29 -1.79300741e-08 0.00000000e+00 -5.16173946e-29 -1.80541102e-08 1.43972411e-24 5.59896090e-30 1.24036159e-10
1.5271e-05       4.42032531e-25 1.02260193e-27 -3.24642236e-08 0.00000000e+00 1.00637852e-27 -3.25427250e-08 4.42032531e-25 1.62234078e-29 7.85013643e-11
1.60281e-05      2.49367724e-24 1.14305366e-27 -2.64416527e-08 0.00000000e+00 1.11876544e-27 -2.64791931e-08 2.49367724e-24 2.42882206e-29 3.75404196e-11
1.67821e-05      3.47254446e-24 1.71285339e-27 -3.40964235e-08 0.00000000e+00 1.68082125e-27 -3.40929594e-08 3.47254446e-24 3.20321480e-29 -3.46404405e-12
1.75361e-05      8.36642866e-24 1.85747144e-27 -3.93635018e-08 0.00000000e+00 1.82226893e-27 -3.93266239e-08 8.36642866e-24 3.52025071e-29 -3.68778803e-11
1.82901e-05      6.12527614e-24 1.82866168e-27 -4.11959230e-08 0.00000000e+00 1.79552162e-27 -4.11386308e-08 6.12527614e-24 3.31400549e-29 -5.72922463e-11
1.90409e-05      2.97329911e-24 2.49639069e-27 -5.16521836e-08 0.00000000e+00 2.46929451e-27 -5.15804048e-08 2.97329911e-24 2.70961814e-29 -7.17788103e-11
1.97918e-05      3.53917544e-24 2.34332675e-27 -4.37073941e-08 0.00000000e+00 2.32508074e-27 -4.36228505e-08 3.53917544e-24 1.82460135e-29 -8.45435916e-11
2.05427e-05      2.15430597e-24 1.78988397e-27 -3.20287851e-08 0.00000000e+00 1.78159747e-27 -3.19309431e-08 2.15430597e-24 8.28650261e-30 -9.78419260e-11
2.12967e-05      1.53726397e-24 2.13819720e-27 -3.78136295e-08 0.00000000e+00 2.13929856e-27 -3.77034126e-08 1.53726397e-24 -1.10136619e-30 -1.10216932e-10
2.20507e-05      4.99540376e-24 2.57340333e-27 -4.41493089e-08 0.00000000e+00 2.58264481e-27 -4.40247006e-08 4.99540376e-24 -9.24147723e-30 -1.24608238e-10
2.28047e-05      1.63582959e-24 1.81228659e-27 -3.37855393e-08 0.00000000e+00 1.82702932e-27 -3.36441889e-08 1.63582959e-24 -1.47427254e-29 -1.41350398e-10
2.3562e-05       2.05329837e-24 1.79211519e-27 -3.46939127e-08 0.00000000e+00 1.81025161e-27 -3.45371272e-08 2.05329837e-24 -1.81364147e-29 -1.56785471e-10
2.43225e-05      3.83395042e-24 2.18271432e-27 -4.07907878e-08 0.00000000e+00 2.20311744e-27 -4.06173866e-08 3.83395042e-24 -2.04031244e-29 -1.73401140e-10
2.50863e-05      1.81664880e-25 1.77155352e-27 -2.84769492e-08 0.00000000e+00 1.79256787e-27 -2.82859559e-08 1.81664880e-25 -2.10143519e-29 -1.90993353e-10
2.58535e-05      2.26095670e-25 1.65798776e-27 -2.47432813e-08 0.00000000e+00 1.67847901e-27 -2.45362396e-08 2.26095670e-25 -2.04912429e-29 -2.07041757e-10
2.66275e-05      2.97356199e-24 1.57030193e-27 -2.38187267e-08 0.00000000e+00 1.58978107e-27 -2.35980776e-08 2.97356199e-24 -1.94791377e-29 -2.20649115e-10
2.74084e-05      2.17920212e-24 1.48393422e-27 -2.30932920e-08 0.00000000e+00 1.50201091e-27 -2.28604992e-08 2.17920212e-24 -1.80766894e-29 -2.32792803e-10
2.81965e-05      3.50277249e-24 1.40539814e-27 -2.31143529e-08 0.00000000e+00 1.42220957e-27 -2.28690244e-08 3.50277249e-24 -1.68114321e-29 -2.45328544e-10
2.89919e-05      1.54263047e-24 1.46671065e-27 -2.47659300e-08 0.00000000e+00 1.48269042e-27 -2.45083080e-08 1.54263047e-24 -1.59797691e-29 -2.57621914e-10
2.97985e-05      1.20553400e-24 1.46624696e-27 -2.49338876e-08 0.00000000e+00 1.48124333e-27 -2.46658531e-08 1.20553400e-24 -1.49963686e-29 -2.68034500e-10
3.06168e-05      4.24839901e-24 1.27643992e-27 -2.27014563e-08 0.00000000e+00 1.29067914e-27 -2.24246654e-08 4.24839901e-24 -1.42392168e-29 -2.76790902e-10
3.14512e-05      8.26675877e-25 1.17736770e-27 -2.14754330e-08 0.00000000e+00 1.19130030e-27 -2.11913984e-08 8.26675877e-25 -1.39326001e-29 -2.84034635e-10
3.23025e-05      6.99982380e-25 1.05578413e-27 -1.96856876e-08 0.00000000e+00 1.06976577e-27 -1.93956802e-08 6.99982380e-25 -1.39816423e-29 -2.90007380e-10
3.31714e-05      2.96088895e-24 1.00089364e-27 -1.86201244e-08 0.00000000e+00 1.01471256e-27 -1.83253536e-08 2.96088895e-24 -1.38189247e-29 -2.94770791e-10
3.40635e-05      2.11958401e-24 8.58751425e-28 -1.63947028e-08 0.00000000e+00 8.71981281e-28 -1.60963483e-08 2.11958401e-24 -1.32298560e-29 -2.98354436e-10
3.49703e-05      3.66019666e-24 6.12808877e-28 -1.28163763e-08 0.00000000e+00 6.26515658e-28 -1.25164004e-08 3.66019666e-24 -1.37067818e-29 -2.99975947e-10
3.58623e-05      3.89084408e-24 4.24409742e-28 -9.69241374e-09 0.00000000e+00 4.37520450e-28 -9.39233343e-09 3.89084408e-24 -1.31107074e-29 -3.00080310e-10
3.67448e-05      1.38396606e-24 2.09070058e-28 -5.82312561e-09 0.00000000e+00 2.21489569e-28 -5.52479331e-09 1.38396606e-24 -1.24195117e-29 -2.98332298e-10
3.76178e-05      3.42011470e-24 2.39115106e-29 -3.47308171e-09 0.00000000e+00 3.55974602e-29 -3.17722499e-09 3.42011470e-24 -1.16859496e-29 -2.95856718e-10
3.84815e-05      2.76475164e-24 -8.64782459e-29 -2.08772859e-09 0.00000000e+00 -7.52022468e-29 -1.79364584e-09 2.76475164e-24 -1.12759992e-29 -2.94082755e-10
3.93407e-05      1.85544554e-24 4.88550554e-28 -1.74324160e-08 0.00000000e+00 4.99102649e-28 -1.71423217e-08 1.85544554e-24 -1.05520949e-29 -2.90094371e-10
4.01907e-05      3.29871369e-24 4.06732397e-28 -1.55497263e-08 0.00000000e+00 4.16117414e-28 -1.52641860e-08 3.29871369e-24 -9.38501672e-30 -2.85540227e-10
4.10363e-05      3.22027584e-24 2.88589018e-28 -1.34266321e-08 0.00000000e+00 2.96878534e-28 -1.31454864e-08 3.22027584e-24 -8.28951550e-30 -2.81145763e-10
4.18773e-05      2.21913701e-24 1.85235438e-28 -1.11884719e-08 0.00000000e+00 1.92632587e-28 -1.09122442e-08 2.21913701e-24 -7.39714854e-30 -2.76227652e-10
4.2714e-05       5.14376470e-24 9.35509299e-29 -9.06056153e-09 0.00000000e+00 1.00239430e-28 -8.78954174e-09 5.14376470e-24 -6.68849963e-30 -2.71019789e-10
4.35506e-05      3.37266802e-24 -3.53998604e-29 -6.42270143e-09 0.00000000e+00 -2.89314577e-29 -6.15702505e-09 3.37266802e-24 -6.46840272e-30 -2.65676373e-10
4.43828e-05      1.07534820e-24 -1.20480787e-28 -4.53533766e-09 0.00000000e+00 -1.14376647e-28 -4.27487559e-09 1.07534820e-24 -6.10414043e-30 -2.60462079e-10
4.5215e-05       4.46691620e-24 -2.23409958e-28 -2.37101019e-09 0.00000000e+00 -2.18038600e-28 -2.11607652e-09 4.46691620e-24 -5.37135839e-30 -2.54933678e-10
4.60427e-05      2.72584154e-24 -3.17060692e-28 -2.93505305e-10 0.00000000e+00 -3.12402755e-28 -4.41827320e-11 2.72584154e-24 -4.65793692e-30 -2.49322573e-10
4.68749e-05      4.83830485e-24 -3.96154176e-28 1.59143342e-09 0.00000000e+00 -3.92081655e-28 1.83524983e-09 4.83830485e-24 -4.07252036e-30 -2.43816415e-10
4.77071e-05      -1.10869559e-25 -4.56836289e-28 3.00407711e-09 0.00000000e+00 -4.53223585e-28 3.24262687e-09 -1.10869559e-25 -3.61270450e-30 -2.38549761e-10
4.85393e-05      3.34545685e-24 -5.21710716e-28 4.48344778e-09 0.00000000e+00 -5.18411514e-28 4.71697796e-09 3.34545685e-24 -3.29920175e-30 -2.33530174e-10
4.93715e-05      3.85788574e-24 -5.82245683e-28 5.91914791e-09 0.00000000e+00 -5.79127836e-28 6.14750443e-09 3.85788574e-24 -3.11784733e-30 -2.28356520e-10
5.02083e-05      3.99541750e-24 -6.37692382e-28 7.25675009e-09 0.00000000e+00 -6.34781061e-28 7.47979714e-09 3.99541750e-24 -2.91132105e-30 -2.23047041e-10
5.10498e-05      3.74708458e-24 -6.94691610e-28 8.58826193e-09 0.00000000e+00 -6.91988103e-28 8.80588683e-09 3.74708458e-24 -2.70350708e-30 -2.17624897e-10
5.18961e-05      5.13614719e-24 -2.72868527e-28 -1.16721543e-09 0.00000000e+00 -2.70372578e-28 -9.55165531e-10 5.13614719e-24 -2.49594887e-30 -2.12049900e-10
5.27473e-05      4.40549823e-24 2.42599348e-28 -9.07275881e-09 0.00000000e+00 2.44917765e-28 -8.86622209e-09 4.40549823e-24 -2.31841691e-30 -2.06536720e-10
5.36034e-05      1.62258700e-24 1.61075278e-28 -7.12487624e-09 0.00000000e+00 1.63265069e-28 -6.92355272e-09 1.62258700e-24 -2.18979106e-30 -2.01323528e-10
5.44697e-05      2.70972780e-25 1.47473058e-28 -6.13421744e-09 0.00000000e+00 1.49491727e-28 -5.93819702e-09 2.70972780e-25 -2.01866953e-30 -1.96020418e-10
5.53464e-05      3.57923040e-24 8.26472300e-29 -4.44820958e-09 0.00000000e+00 8.44695112e-29 -4.25780716e-09 3.57923040e-24 -1.82228113e-30 -1.90402425e-10
5.62338e-05      1.98585243e-24 7.06226682e-29 -3.14036403e-09 0.00000000e+00 7.22357199e-29 -2.95564564e-09 1.98585243e-24 -1.61305173e-30 -1.84718386e-10
5.71324e-05      2.31501137e-24 -2.52168142e-30 -1.40998835e-09 0.00000000e+00 -1.12184866e-30 -1.23095017e-09 2.31501137e-24 -1.39983277e-30 -1.79038179e-10
5.80482e-05      2.79123076e-24 -7.16303318e-29 1.63523096e-10 0.00000000e+00 -7.04436700e-29 3.37156002e-10 2.79123076e-24 -1.18666182e-30 -1.73632905e-10
5.89821e-05      1.71764669e-24 -1.31501102e-28 1.60454151e-09 0.00000000e+00 -1.30471785e-28 1.77320384e-09 1.71764669e-24 -1.02931739e-30 -1.68662333e-10
5.99349e-05      4.74887447e-24 -1.89660689e-28 3.01014489e-09 0.00000000e+00 -1.88737662e-28 3.17410730e-09 4.74887447e-24 -9.23027410e-31 -1.63962409e-10
6.09076e-05      4.29469072e-24 -2.40839238e-28 4.23977916e-09 0.00000000e+00 -2.39990713e-28 4.39906125e-09 4.29469072e-24 -8.48525886e-31 -1.59282087e-10
6.18735e-05      3.05114363e-24 -2.93890832e-28 5.45953296e-09 0.00000000e+00 -2.93095691e-28 5.61428610e-09 3.05114363e-24 -7.95140655e-31 -1.54753143e-10
6.28261e-05      3.98273936e-24 -3.36159832e-28 6.31891452e-09 0.00000000e+00 -3.35408973e-28 6.46927368e-09 3.98273936e-24 -7.50858932e-31 -1.50359160e-10
6.37656e-05      1.33706149e-24 -2.21099686e-29 -8.37781923e-10 0.00000000e+00 -2.13875479e-29 -6.91728412e-10 1.33706149e-24 -7.22420644e-31 -1.46053510e-10
6.46924e-05      4.00565915e-24 -4.48772983e-29 -4.49980988e-10 0.00000000e+00 -4.41695650e-29 -3.08153510e-10 4.00565915e-24 -7.07733319e-31 -1.41827478e-10
6.56129e-05      7.61695390e-24 -6.68162630e-29 -5.96546741e-11 0.00000000e+00 -6.61188406e-29 7.78186574e-11 7.61695390e-24 -6.97422360e-31 -1.37473332e-10
6.65209e-05      2.89825500e-24 -8.64679630e-29 2.97517675e-10 0.00000000e+00 -8.57855909e-29 4.30340141e-10 2.89825500e-24 -6.82372064e-31 -1.32822466e-10
6.74228e-05      2.57560320e-24 -1.05399827e-28 6.57743007e-10 0.00000000e+00 -1.04736313e-28 7.85457608e-10 2.57560320e-24 -6.63513927e-31 -1.27714600e-10
6.83186e-05      3.20435914e-24 -1.22935015e-28 1.00082619e-09 0.00000000e+00 -1.22296102e-28 1.12286542e-09 3.20435914e-24 -6.38913720e-31 -1.22039228e-10
6.92083e-05      3.23084687e-24 -1.38491885e-28 1.32559797e-09 0.00000000e+00 -1.37883493e-28 1.44136245e-09 3.23084687e-24 -6.08392282e-31 -1.15764478e-10
7.0092e-05       2.38921223e-24 -1.57235932e-28 1.71835668e-09 0.00000000e+00 -1.56636932e-28 1.82722120e-09 2.38921223e-24 -5.98999235e-31 -1.08864518e-10
7.09698e-05      1.38483057e-24 -1.73547128e-28 2.08212208e-09 0.00000000e+00 -1.72960867e-28 2.18357243e-09 1.38483057e-24 -5.86260351e-31 -1.01450353e-10
7.18475e-05      1.18480984e-24 3.41654659e-29 -8.74495230e-10 0.00000000e+00 3.47337291e-29 -7.81021640e-10 1.18480984e-24 -5.68263198e-31 -9.34735900e-11
7.27193e-05      4.40963150e-24 -8.72715636e-30 -8.04020597e-11 0.00000000e+00 -8.15031676e-30 5.06677015e-12 4.40963150e-24 -5.76839598e-31 -8.54688298e-11
7.35911e-05      3.72269891e-24 -5.20909036e-29 6.97918529e-10 0.00000000e+00 -5.15540309e-29 7.75287376e-10 3.72269891e-24 -5.36872719e-31 -7.73688470e-11
7.44629e-05      4.92196926e-24 -9.21714300e-29 1.42641289e-09 0.00000000e+00 -9.16686251e-29 1.49573717e-09 4.92196926e-24 -5.02804883e-31 -6.93242810e-11
7.53347e-05      2.88149739e-24 -1.26934466e-28 2.07860600e-09 0.00000000e+00 -1.26456764e-28 2.14000336e-09 2.88149739e-24 -4.77701670e-31 -6.13973645e-11
7.62126e-05      8.17627746e-24 -1.60298871e-28 2.70152977e-09 0.00000000e+00 -1.59845201e-28 2.75508894e-09 8.17627746e-24 -4.53669671e-31 -5.35591649e-11
7.70905e-05      3.83671467e-24 -1.33213743e-28 2.62392607e-09 0.00000000e+00 -1.32780266e-28 2.66981016e-09 3.83671467e-24 -4.33476819e-31 -4.58840845e-11
7.79748e-05      3.94117261e-24 -1.01999598e-29 2.87115754e-10 0.00000000e+00 -9.78316234e-30 3.25458387e-10 3.94117261e-24 -4.16797450e-31 -3.83426331e-11
7.8859e-05       4.20688152e-24 -3.43764000e-30 3.39900550e-10 0.00000000e+00 -3.04625263e-30 3.70807816e-10 4.20688152e-24 -3.91387375e-31 -3.09072665e-11
7.97498e-05      3.92128055e-24 -2.11908087e-29 6.14293163e-10 0.00000000e+00 -2.08220695e-29 6.37935957e-10 3.92128055e-24 -3.68739170e-31 -2.36427942e-11
8.06471e-05      2.90893065e-24 -3.85660879e-29 9.22784680e-10 0.00000000e+00 -3.82065781e-29 9.39354749e-10 2.90893065e-24 -3.59509835e-31 -1.65700689e-11
8.15513e-05      2.10645480e-25 -4.91465608e-29 1.17754855e-09 0.00000000e+00 -4.87939726e-29 1.18728387e-09 2.10645480e-25 -3.52588269e-31 -9.73531715e-12
8.24695e-05      4.00500436e-24 -6.12383099e-29 1.44753067e-09 0.00000000e+00 -6.08999460e-29 1.45062699e-09 4.00500436e-24 -3.38363842e-31 -3.09631908e-12
8.3395e-05       7.47848137e-25 -7.23178352e-29 1.67739388e-09 0.00000000e+00 -7.19977537e-29 1.67406776e-09 7.47848137e-25 -3.20081545e-31 3.32612084e-12
8.43353e-05      4.72729030e-24 -7.78494817e-29 1.75112655e-09 0.00000000e+00 -7.75505046e-29 1.74157007e-09 4.72729030e-24 -2.98977097e-31 9.55647691e-12
8.52834e-05      3.48723000e-24 -8.89409776e-29 1.95416984e-09 0.00000000e+00 -8.86647759e-29 1.93863305e-09 3.48723000e-24 -2.76201699e-31 1.55367923e-11
8.62474e-05      -5.12344598e-25 -9.97608723e-29 2.11509735e-09 0.00000000e+00 -9.95123735e-29 2.09381609e-09 -5.12344598e-25 -2.48498723e-31 2.12812615e-11
8.72366e-05      2.85757448e-24 -1.10319915e-28 2.26339459e-09 0.00000000e+00 -1.10098610e-28 2.23660982e-09 2.85757448e-24 -2.21304950e-31 2.67847687e-11
8.82434e-05      1.59767885e-24 -1.21802269e-28 2.44284853e-09 0.00000000e+00 -1.21607332e-28 2.41086542e-09 1.59767885e-24 -1.94937820e-31 3.19831119e-11
8.92687e-05      1.48168539e-24 -1.30990062e-28 2.59697657e-09 0.00000000e+00 -1.30819445e-28 2.56023358e-09 1.48168539e-24 -1.70616305e-31 3.67429849e-11
9.02753e-05      2.34408941e-24 -1.35452398e-28 2.65039398e-09 0.00000000e+00 -1.35305097e-28 2.60936415e-09 2.34408941e-24 -1.47300319e-31 4.10298238e-11
9.12728e-05      4.17264091e-24 -1.39500386e-28 2.69671144e-09 0.00000000e+00 -1.39374660e-28 2.65176153e-09 4.17264091e-24 -1.25725771e-31 4.49499060e-11
9.22523e-05      3.04385203e-24 -1.44812923e-28 2.78289926e-09 0.00000000e+00 -1.44711526e-28 2.73441776e-09 3.04385203e-24 -1.01396972e-31 4.84815025e-11
9.3223e-05       5.83063011e-24 -1.50858541e-28 2.88644122e-09 0.00000000e+00 -1.50785122e-28 2.83470983e-09 5.83063011e-24 -7.34184692e-32 5.17313956e-11
9.4185e-05       6.09618694e-24 -1.56913430e-28 2.99429821e-09 0.00000000e+00 -1.56874682e-28 2.93961524e-09 6.09618694e-24 -3.87480502e-32 5.46829758e-11
9.51383e-05      3.95509835e-24 -1.62185524e-28 3.08626482e-09 0.00000000e+00 -1.62177036e-28 3.02892749e-09 3.95509835e-24 -8.48777212e-33 5.73373335e-11
9.6083e-05       2.57454336e-24 -1.68706636e-28 3.22385859e-09 0.00000000e+00 -1.68736736e-28 3.16424078e-09 2.57454336e-24 3.00992550e-32 5.96178054e-11
9.70192e-05      5.63777097e-24 -1.73091942e-28 3.30547508e-09 0.00000000e+00 -1.73161289e-28 3.24395568e-09 5.63777097e-24 6.93464451e-32 6.15193993e-11
9.79554e-05      4.87624927e-24 -1.76955345e-28 3.36965892e-09 0.00000000e+00 -1.77062283e-28 3.30658295e-09 4.87624927e-24 1.06938670e-31 6.30759775e-11
9.8883e-05       4.42202140e-24 -1.77875353e-28 3.35669226e-09 0.00000000e+00 -1.78017681e-28 3.29240097e-09 4.42202140e-24 1.42327098e-31 6.42912926e-11
9.98107e-05      3.60876664e-24 -1.78282789e-28 3.33610219e-09 0.00000000e+00 -1.78462559e-28 3.27089363e-09 3.60876664e-24 1.79769903e-31 6.52085574e-11
0.000100738      2.87936611e-24 -1.78144437e-28 3.30918357e-09 0.00000000e+00 -1.78354646e-28 3.24334622e-09 2.87936611e-24 2.10208627e-31 6.58373533e-11
0.000101657      3.39309575e-24 -1.79129607e-28 3.31386298e-09 0.00000000e+00 -1.79372186e-28 3.24757522e-09 3.39309575e-24 2.42579679e-31 6.62877517e-11
0.000102577      2.77551306e-24 -1.79109938e-28 3.29082392e-09 0.00000000e+00 -1.79385620e-28 3.22433388e-09 2.77551306e-24 2.75682365e-31 6.64900447e-11
0.000103496      2.45846841e-24 -1.78347931e-28 3.25376660e-09 0.00000000e+00 -1.78659769e-28 3.18726207e-09 2.45846841e-24 3.11837726e-31 6.65045284e-11
0.000104415      5.77170464e-24 -1.76140935e-28 3.19597704e-09 0.00000000e+00 -1.76484344e-28 3.12967077e-09 5.77170464e-24 3.43409876e-31 6.63062780e-11
0.000105343      3.48674807e-24 -1.66830275e-28 3.04489617e-09 0.00000000e+00 -1.67203093e-28 2.97900708e-09 3.48674807e-24 3.72817432e-31 6.58890829e-11
0.000106271      1.78955123e-24 -1.23850202e-28 2.46080234e-09 0.00000000e+00 -1.24247835e-28 2.39555432e-09 1.78955123e-24 3.97632863e-31 6.52480179e-11
0.000107208      4.59910353e-24 -1.28744309e-28 2.47494238e-09 0.00000000e+00 -1.29157098e-28 2.41054915e-09 4.59910353e-24 4.12789087e-31 6.43932296e-11
0.000108145      2.87158248e-24 -1.31824960e-28 2.48940610e-09 0.00000000e+00 -1.32243898e-28 2.42606732e-09 2.87158248e-24 4.18937681e-31 6.33387768e-11
0.000109092      3.44773805e-24 -1.34920491e-28 2.50434952e-09 0.00000000e+00 -1.35341285e-28 2.44223328e-09 3.44773805e-24 4.20793333e-31 6.21162427e-11
0.000110049      -2.75049119e-26 -1.37787932e-28 2.52119286e-09 0.00000000e+00 -1.38210072e-28 2.46042278e-09 -2.75049119e-26 4.22139547e-31 6.07700807e-11
0.000111016      4.12461367e-24 -1.40267681e-28 2.53869149e-09 0.00000000e+00 -1.40690137e-28 2.47941707e-09 4.12461367e-24 4.22456860e-31 5.92744150e-11
