# Region type : patch inlet
# Faces         : 30
# Area          : 1.06980230e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(phi)
1.1976e-06      	-1.07002488e-04
1.56105e-06     	-1.07002022e-04
1.96936e-06     	-1.07002118e-04
2.42882e-06     	-1.07002279e-04
2.94468e-06     	-1.07002594e-04
3.52086e-06     	-1.07003058e-04
4.14859e-06     	-1.07003516e-04
4.80143e-06     	-1.07003801e-04
5.47686e-06     	-1.07003916e-04
6.16911e-06     	-1.07004364e-04
6.87911e-06     	-1.07004514e-04
7.60787e-06     	-1.07004584e-04
8.35358e-06     	-1.07004637e-04
9.11711e-06     	-1.07004751e-04
9.90263e-06     	-1.07004746e-04
1.06817e-05     	-1.07004408e-04
1.14544e-05     	-1.07004716e-04
1.2224e-05      	-1.07004824e-04
1.29905e-05     	-1.07004586e-04
1.37538e-05     	-1.07004173e-04
1.45139e-05     	-1.07004188e-04
1.5271e-05      	-1.07004471e-04
1.60281e-05     	-1.07004640e-04
1.67821e-05     	-1.07004369e-04
1.75361e-05     	-1.07004079e-04
1.82901e-05     	-1.07003943e-04
1.90409e-05     	-1.07003836e-04
1.97918e-05     	-1.07003708e-04
2.05427e-05     	-1.07003549e-04
2.12967e-05     	-1.07003452e-04
2.20507e-05     	-1.07003372e-04
2.28047e-05     	-1.07003292e-04
2.3562e-05      	-1.07003294e-04
2.43225e-05     	-1.07003294e-04
2.50863e-05     	-1.07003267e-04
2.58535e-05     	-1.07003219e-04
2.66275e-05     	-1.07003162e-04
2.74084e-05     	-1.07003102e-04
2.81965e-05     	-1.07003044e-04
2.89919e-05     	-1.07002990e-04
2.97985e-05     	-1.07002943e-04
3.06168e-05     	-1.07002901e-04
3.14512e-05     	-1.07002865e-04
3.23025e-05     	-1.07002831e-04
3.31714e-05     	-1.07002801e-04
3.40635e-05     	-1.07002778e-04
3.49703e-05     	-1.07002756e-04
3.58623e-05     	-1.07002731e-04
3.67448e-05     	-1.07002709e-04
3.76178e-05     	-1.07002690e-04
3.84815e-05     	-1.07002674e-04
3.93407e-05     	-1.07002658e-04
4.01907e-05     	-1.07002646e-04
4.10363e-05     	-1.07002638e-04
4.18773e-05     	-1.07002631e-04
4.2714e-05      	-1.07002624e-04
4.35506e-05     	-1.07002618e-04
4.43828e-05     	-1.07002612e-04
4.5215e-05      	-1.07002606e-04
4.60427e-05     	-1.07002600e-04
4.68749e-05     	-1.07002594e-04
4.77071e-05     	-1.07002590e-04
4.85393e-05     	-1.07002585e-04
4.93715e-05     	-1.07002581e-04
5.02083e-05     	-1.07002576e-04
5.10498e-05     	-1.07002571e-04
5.18961e-05     	-1.07002565e-04
5.27473e-05     	-1.07002554e-04
5.36034e-05     	-1.07002553e-04
5.44697e-05     	-1.07002552e-04
5.53464e-05     	-1.07002551e-04
5.62338e-05     	-1.07002549e-04
5.71324e-05     	-1.07002548e-04
5.80482e-05     	-1.07002547e-04
5.89821e-05     	-1.07002545e-04
5.99349e-05     	-1.07002543e-04
6.09076e-05     	-1.07002541e-04
6.18735e-05     	-1.07002537e-04
6.28261e-05     	-1.07002533e-04
6.37656e-05     	-1.07002529e-04
6.46924e-05     	-1.07002526e-04
6.56129e-05     	-1.07002522e-04
6.65209e-05     	-1.07002519e-04
6.74228e-05     	-1.07002517e-04
6.83186e-05     	-1.07002515e-04
6.92083e-05     	-1.07002512e-04
7.0092e-05      	-1.07002510e-04
7.09698e-05     	-1.07002509e-04
7.18475e-05     	-1.07002506e-04
7.27193e-05     	-1.07002506e-04
7.35911e-05     	-1.07002505e-04
7.44629e-05     	-1.07002504e-04
7.53347e-05     	-1.07002503e-04
7.62126e-05     	-1.07002502e-04
7.70905e-05     	-1.07002501e-04
7.79748e-05     	-1.07002496e-04
7.8859e-05      	-1.07002496e-04
7.97498e-05     	-1.07002496e-04
8.06471e-05     	-1.07002496e-04
8.15513e-05     	-1.07002497e-04
8.24695e-05     	-1.07002498e-04
8.3395e-05      	-1.07002498e-04
8.43353e-05     	-1.07002498e-04
8.52834e-05     	-1.07002498e-04
8.62474e-05     	-1.07002498e-04
8.72366e-05     	-1.07002498e-04
8.82434e-05     	-1.07002497e-04
8.92687e-05     	-1.07002497e-04
9.02753e-05     	-1.07002496e-04
9.12728e-05     	-1.07002496e-04
9.22523e-05     	-1.07002495e-04
9.3223e-05      	-1.07002495e-04
9.4185e-05      	-1.07002494e-04
9.51383e-05     	-1.07002494e-04
9.6083e-05      	-1.07002493e-04
9.70192e-05     	-1.07002493e-04
9.79554e-05     	-1.07002492e-04
9.8883e-05      	-1.07002492e-04
9.98107e-05     	-1.07002492e-04
0.000100738     	-1.07002491e-04
0.000101657     	-1.07002491e-04
0.000102577     	-1.07002491e-04
0.000103496     	-1.07002491e-04
0.000104415     	-1.07002490e-04
0.000105343     	-1.07002490e-04
0.000106271     	-1.07002490e-04
0.000107208     	-1.07002490e-04
0.000108145     	-1.07002490e-04
0.000109092     	-1.07002489e-04
0.000110049     	-1.07002489e-04
0.000111016     	-1.07002489e-04
0.000111994     	-1.07002489e-04
0.000112983     	-1.07002489e-04
0.000113995     	-1.07002489e-04
0.000115019     	-1.07002489e-04
0.000116068     	-1.07002489e-04
0.00011713      	-1.07002489e-04
0.000118166     	-1.07002489e-04
0.000119189     	-1.07002489e-04
0.000120199     	-1.07002489e-04
0.000121197     	-1.07002489e-04
0.000122182     	-1.07002489e-04
0.000123155     	-1.07002489e-04
0.000124127     	-1.07002488e-04
0.000125088     	-1.07002488e-04
0.000126048     	-1.07002488e-04
0.000126996     	-1.07002488e-04
0.000127944     	-1.07002488e-04
0.000128892     	-1.07002488e-04
0.000129841     	-1.07002488e-04
0.000130789     	-1.07002488e-04
0.000131737     	-1.07002488e-04
0.000132685     	-1.07002488e-04
0.000133633     	-1.07002488e-04
0.000134581     	-1.07002488e-04
0.000135543     	-1.07002488e-04
0.000136505     	-1.07002488e-04
0.000137482     	-1.07002488e-04
0.000138459     	-1.07002488e-04
0.000139451     	-1.07002488e-04
0.000140461     	-1.07002488e-04
0.000141487     	-1.07002488e-04
0.000142532     	-1.07002488e-04
0.000143596     	-1.07002488e-04
0.000144681     	-1.07002487e-04
0.000145787     	-1.07002487e-04
0.000146872     	-1.07002487e-04
0.000147934     	-1.07002487e-04
0.000148997     	-1.07002487e-04
0.000150038     	-1.07002487e-04
0.000151078     	-1.07002487e-04
0.000152098     	-1.07002487e-04
0.000153117     	-1.07002487e-04
0.000154114     	-1.07002487e-04
0.000155112     	-1.07002487e-04
0.000156109     	-1.07002487e-04
0.000157107     	-1.07002487e-04
0.000158104     	-1.07002487e-04
0.000159102     	-1.07002487e-04
0.000160099     	-1.07002487e-04
0.000161097     	-1.07002487e-04
0.000162094     	-1.07002487e-04
0.000163092     	-1.07002487e-04
0.000164089     	-1.07002487e-04
0.000165087     	-1.07002487e-04
0.000166114     	-1.07002487e-04
0.000167141     	-1.07002487e-04
0.000168168     	-1.07002487e-04
0.000169229     	-1.07002487e-04
0.00017029      	-1.07002487e-04
0.00017139      	-1.07002487e-04
